Parameters are p=33, r=0.6 and m=0.1
0,12,808.3636363636364
5,10,198.84848484848484
10,8,72.78787878787878
15,8,9.515151515151516
20,6,8.363636363636363
25,6,6.909090909090909
30,4,6.363636363636363
35,4,5.333333333333333
40,4,4.666666666666667
45,4,4.545454545454546
50,4,4.606060606060606
55,4,4.787878787878788
60,4,4.666666666666667
65,4,4.606060606060606
70,4,4.848484848484849
75,4,4.848484848484849
80,4,4.7272727272727275
85,4,4.606060606060606
90,4,4.666666666666667
95,4,4.606060606060606
100,4,4.787878787878788
105,4,4.7272727272727275
110,4,4.363636363636363
115,4,4.484848484848484
120,4,4.606060606060606
125,4,4.545454545454546
130,4,4.606060606060606
135,4,4.606060606060606
140,4,4.424242424242424
145,4,4.666666666666667
150,2,4.242424242424242
155,2,3.1515151515151514
160,2,2.484848484848485
165,2,2.484848484848485
170,2,2.484848484848485
175,2,2.484848484848485
180,2,2.606060606060606
185,2,2.242424242424242
190,2,2.3636363636363638
195,2,2.4242424242424243
200,2,2.5454545454545454
205,2,2.5454545454545454
210,2,2.909090909090909
215,2,2.484848484848485
220,2,2.6666666666666665
225,2,2.5454545454545454
230,2,2.5454545454545454
235,2,2.6666666666666665
240,2,2.4242424242424243
245,2,2.727272727272727
250,2,2.6666666666666665
255,2,2.5454545454545454
260,2,2.6666666666666665
265,2,2.484848484848485
270,2,2.5454545454545454
275,2,2.5454545454545454
280,2,3.0303030303030303
285,2,2.787878787878788
290,2,2.484848484848485
295,2,2.484848484848485
300,2,2.5454545454545454
305,2,2.8484848484848486
310,2,2.484848484848485
315,2,2.787878787878788
320,2,2.484848484848485
325,2,2.5454545454545454
330,2,2.606060606060606
335,2,2.727272727272727
340,2,3.0303030303030303
345,2,2.5454545454545454
350,2,2.606060606060606
355,2,2.9696969696969697
360,2,2.5454545454545454
365,2,2.5454545454545454
370,2,2.3636363636363638
375,2,2.5454545454545454
380,2,2.4242424242424243
385,2,3.212121212121212
390,2,2.6666666666666665
